Business Name,Category,SIC Code,SIC description,NAICS Code,NAICS description,City,State,Zip Code,Est. Annual Revenue,Est. Company Size
Amazonenemy Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Hollywood,FL,33020,$$,Medium
Miami Transformers,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Homestead,FL,33032,$$,Medium
"Tropic, LLC",Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Miami,FL,33145,$$,Medium
Prime Distribution USA Corp,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Pompano Beach,FL,33073,$$,Medium
Piusi,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Fort Lauderdale,FL,33312,$$,Medium
Torpey Denver Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Broomfield,CO,80020,$$,Medium
Nsd Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Saint Paul,MN,55109,$$,Medium
Epco Products Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Wallkill,NY,12589,$$,Medium
Ftw Main Distribution At,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Fort Worth,TX,76137,$$,Medium
Bluestone Distributors Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Lancaster,TX,75134,$$,Medium
GWF Power Systems,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Tracy,CA,95377,$$,Medium
Shearer,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Portland,OR,97223,$$,Medium
Amsons Distributors Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Houston,TX,77036,$$,Medium
National Air Vibrator Co,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Houston,TX,77041,$$,Medium
Houtech Hitemp Transfor,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Houston,TX,77041,$$,Medium
"Sunbelt Transformer, Ltd",Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Spring,TX,77373,$$,Medium
Philadelphia Gear Corp,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Spring,TX,77381,$$,Medium
Walden Gage,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Lancaster,NH,03584,$$,Medium
Real Power Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Jaffrey,NH,03452,$$,Medium
Hunterdon Transformer Co,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Phillipsburg,NJ,08865,$$,Medium
Technology Research Corp,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Clearwater,FL,33762,$$,Medium
Sri Systems,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Tampa,FL,33634,$$,Medium
Astrodyne Corp,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Mansfield,MA,02048,$$,Medium
Future Power Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Fairhaven,MA,02719,$$,Medium
Directory Distributing,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Raynham,MA,02767,$$,Medium
Sanford Process Corp,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Woonsocket,RI,02895,$$,Medium
ABB,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Latham,NY,12110,$$,Medium
"Shape, LLC",Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Longmont,CO,80504,$$,Medium
"Magna Wealth Solutions, LLC",Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Arcata,CA,95521,$$,Medium
"Avancez, LLC",Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Highland Park,MI,48203,$$,Medium
Mpt Drives,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Madison Heights,MI,48071,$$,Medium
Aprotech Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Birmingham,MI,48009,$$,Medium
